                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                0.40377,                  0.324,                 0.8465,                0.91472,                0.91474,                0.96522,                 0.9195,                0.36007,                0.37039,                0.82259,              0.0011851,              0.0011851,              0.0011851
                    149,                0.40814,                0.32433,                0.84796,                0.91024,                0.92338,                0.96508,                0.91514,                0.36023,                0.38623,                0.82563,              0.0011818,              0.0011818,              0.0011818
                    150,                 0.3982,                0.31393,                0.84582,                0.94201,                0.88923,                0.96355,                0.91188,                0.36568,                0.37603,                0.82799,              0.0011785,              0.0011785,              0.0011785
                    151,                0.41038,                0.31139,                0.84622,                0.92208,                 0.9128,                0.96081,                0.90813,                0.37215,                0.34747,                0.82674,              0.0011752,              0.0011752,              0.0011752
                    152,                0.40558,                0.31594,                0.84821,                0.93347,                0.90216,                0.96482,                 0.9168,                0.35409,                0.36255,                0.82061,              0.0011719,              0.0011719,              0.0011719
                    153,                0.39576,                 0.3099,                0.84367,                0.93911,                 0.8973,                0.96732,                  0.917,                0.36975,                0.36111,                0.82194,              0.0011686,              0.0011686,              0.0011686
                    154,                0.40303,                0.30935,                0.84211,                 0.9201,                0.91383,                 0.9659,                 0.9175,                0.36371,                0.37988,                0.82014,              0.0011653,              0.0011653,              0.0011653
                    155,                 0.4085,                0.30647,                0.84206,                0.91437,                0.91342,                0.96557,                0.91649,                0.36765,                0.34932,                0.82233,               0.001162,               0.001162,               0.001162
                    156,                0.42374,                0.30887,                0.84733,                0.92158,                0.90887,                0.96025,                0.91085,                0.39114,                0.37733,                0.82456,              0.0011587,              0.0011587,              0.0011587
                    157,                0.42017,                0.31978,                0.84792,                0.94061,                0.88871,                0.96173,                0.90951,                0.38991,                0.35379,                0.82199,              0.0011554,              0.0011554,              0.0011554
