                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.43921,                0.57363,                0.37246,                0.85522,                0.95197,                 0.8905,                0.96355,                0.91787,                0.95241,                0.89091,                0.96388,                 0.9035,                0.35971,                0.49882,                0.37235,                0.81965,              0.0014459,              0.0014459,              0.0014459
                     70,                0.42894,                0.56396,                0.35896,                0.85298,                0.93332,                0.90941,                0.96842,                0.92181,                0.93332,                0.90941,                0.96914,                 0.9114,                0.36327,                0.48974,                0.36036,                0.81656,              0.0014426,              0.0014426,              0.0014426
                     71,                0.42994,                0.55757,                0.36331,                0.85098,                0.93759,                0.90489,                0.96858,                0.91696,                0.93759,                0.90489,                0.96874,                0.90446,                0.37953,                0.49197,                0.36779,                0.82091,              0.0014393,              0.0014393,              0.0014393
                     72,                 0.4298,                0.57202,                0.36343,                0.85065,                0.92748,                0.91453,                0.96768,                0.91368,                0.92748,                0.91453,                0.96817,                0.89903,                0.39389,                0.50079,                0.36399,                 0.8243,               0.001436,               0.001436,               0.001436
                     73,                0.42877,                0.55304,                0.36123,                0.84974,                0.94091,                0.89679,                0.96528,                0.91419,                0.94091,                0.89679,                0.96614,                0.89689,                0.38829,                0.49799,                0.36885,                0.82254,              0.0014327,              0.0014327,              0.0014327
                     74,                0.41259,                0.54466,                0.35672,                0.84834,                0.93543,                0.89725,                0.96405,                0.91828,                0.93584,                0.89766,                0.96523,                0.90571,                0.35638,                0.49205,                0.35692,                0.81353,              0.0014294,              0.0014294,              0.0014294
                     75,                0.44168,                0.57451,                0.37343,                0.85624,                0.90934,                0.91915,                0.96741,                0.91558,                0.90934,                0.91915,                0.96782,                0.89689,                0.37066,                0.50252,                0.37213,                0.82028,              0.0014261,              0.0014261,              0.0014261
                     76,                0.46174,                0.59502,                0.37193,                 0.8641,                0.93781,                0.89704,                0.96847,                0.90971,                0.93781,                0.89704,                0.96856,                0.89862,                0.42795,                0.55524,                0.37279,                0.83321,              0.0014228,              0.0014228,              0.0014228
                     77,                0.44649,                0.57176,                0.37322,                0.86014,                0.94794,                0.88055,                0.95676,                 0.9027,                0.94668,                0.88159,                0.95683,                0.89201,                0.39971,                0.48719,                0.42558,                0.83031,              0.0014195,              0.0014195,              0.0014195
                     78,                0.42288,                0.55291,                0.35307,                0.85439,                0.92404,                0.91502,                0.96553,                0.91376,                0.92338,                0.91438,                 0.9658,                0.90388,                0.40508,                 0.4957,                0.39415,                0.82496,              0.0014161,              0.0014161,              0.0014161
