                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.15112,                0.32171,                0.03102,                0.89246,                0.89308,                0.96278,                0.91031,                0.12893,                 0.3705,                0.02722,              0.0014525,              0.0014525,              0.0014525
                     68,                0.15344,                0.32892,                0.02982,                0.89491,                0.89114,                0.96344,                 0.9054,                0.13552,                0.38884,                0.02703,              0.0014492,              0.0014492,              0.0014492
                     69,                0.14555,                0.31598,                0.02893,                0.89349,                 0.8943,                0.96344,                0.91203,                0.13101,                0.38628,                0.02686,              0.0014459,              0.0014459,              0.0014459
                     70,                0.14412,                0.31419,                0.02912,                0.89313,                0.88953,                0.96162,                0.90303,                0.14245,                0.38601,                0.02842,              0.0014426,              0.0014426,              0.0014426
                     71,                0.13804,                0.30802,                0.02641,                0.88698,                0.89589,                0.96169,                0.90751,                0.13999,                0.38247,                0.03099,              0.0014393,              0.0014393,              0.0014393
                     72,                0.14249,                0.32391,                 0.0287,                0.88237,                0.90187,                0.96174,                0.91167,                0.13476,                0.38494,                 0.0295,               0.001436,               0.001436,               0.001436
                     73,                0.13991,                0.32012,                0.02695,                0.88139,                0.90158,                0.96109,                0.90652,                0.14197,                0.38923,                0.03047,              0.0014327,              0.0014327,              0.0014327
                     74,                0.14308,                0.31443,                 0.0275,                0.88407,                0.89726,                0.96111,                0.91301,                0.13228,                0.38625,                0.02916,              0.0014294,              0.0014294,              0.0014294
                     75,                0.13802,                0.30932,                0.02737,                0.89436,                0.89964,                0.96257,                0.91076,                 0.1314,                0.38909,                0.02618,              0.0014261,              0.0014261,              0.0014261
                     76,                0.14135,                 0.3107,                0.02837,                0.87949,                0.90327,                0.96022,                 0.9075,                0.14132,                0.38515,                0.03255,              0.0014228,              0.0014228,              0.0014228
                     77,                0.13819,                0.31357,                0.02702,                0.89125,                0.90121,                0.96256,                0.90906,                0.13615,                0.37624,                0.02818,              0.0014195,              0.0014195,              0.0014195
                     78,                0.14119,                0.31239,                0.02719,                0.89505,                0.89485,                0.96247,                0.91489,                0.12664,                0.36841,                0.02616,              0.0014161,              0.0014161,              0.0014161
                     79,                0.13511,                0.30747,                0.02804,                0.89067,                0.89503,                0.96194,                0.91158,                0.12745,                0.38341,                0.02579,              0.0014128,              0.0014128,              0.0014128
                     80,                0.13948,                0.31595,                0.02739,                0.90458,                0.88071,                0.95989,                 0.9145,                0.12528,                0.36534,                0.02772,              0.0014095,              0.0014095,              0.0014095
                     81,                0.14332,                0.32014,                   0.03,                0.88436,                0.89504,                0.96191,                0.91042,                0.12728,                0.38075,                0.02584,              0.0014062,              0.0014062,              0.0014062
                     82,                0.13992,                0.31999,                0.02829,                0.88925,                0.88951,                0.96016,                0.90905,                0.13496,                 0.3737,                0.02994,              0.0014029,              0.0014029,              0.0014029
                     83,                0.14719,                0.33038,                 0.0295,                0.92308,                 0.8721,                0.96202,                 0.9088,                0.13171,                0.37649,                0.02866,              0.0013996,              0.0013996,              0.0013996
                     84,                0.15503,                0.33225,                0.03219,                0.89649,                0.89033,                0.96222,                0.90669,                0.14302,                0.37457,                0.03133,              0.0013963,              0.0013963,              0.0013963
                     85,                0.15675,                0.33242,                0.03259,                0.91597,                0.87094,                0.96203,                0.89696,                0.14921,                0.39819,                0.02873,               0.001393,               0.001393,               0.001393
                     86,                0.16275,                0.34114,                0.03153,                 0.8981,                0.89353,                0.96262,                0.87347,                 0.1816,                0.42327,                0.03018,              0.0013897,              0.0013897,              0.0013897
                     87,                 0.1621,                 0.3297,                0.03186,                0.90441,                0.88566,                0.96173,                0.89861,                0.14776,                0.39465,                0.02935,              0.0013864,              0.0013864,              0.0013864
                     88,                0.14942,                0.32434,                0.03033,                 0.8989,                0.88592,                 0.9626,                0.91378,                0.13092,                0.38105,                0.02847,              0.0013831,              0.0013831,              0.0013831
                     89,                0.15397,                 0.3236,                0.03076,                0.89243,                0.89132,                 0.9627,                0.91065,                0.13087,                 0.3818,                0.02673,              0.0013798,              0.0013798,              0.0013798
                     90,                0.14538,                0.31899,                0.02915,                0.90494,                0.87329,                0.96177,                0.90446,                0.13691,                0.38839,                0.02667,              0.0013765,              0.0013765,              0.0013765
                     91,                0.14361,                0.31655,                0.02743,                0.90099,                0.88496,                  0.963,                0.91234,                0.12903,                0.38362,                0.02649,              0.0013732,              0.0013732,              0.0013732
                     92,                0.14593,                0.32509,                0.02892,                0.90846,                0.87888,                0.96284,                0.90832,                0.13666,                0.37429,                0.02962,              0.0013699,              0.0013699,              0.0013699
                     93,                0.14145,                0.31076,                0.02772,                0.89924,                0.88385,                0.96155,                0.90146,                0.14582,                0.38831,                   0.03,              0.0013666,              0.0013666,              0.0013666
                     94,                0.15393,                0.32327,                0.03022,                0.91746,                0.87528,                0.96387,                0.91485,                 0.1304,                 0.3657,                0.02809,              0.0013633,              0.0013633,              0.0013633
                     95,                  0.155,                0.33615,                0.03043,                0.88768,                0.89295,                0.96316,                0.91242,                0.13811,                0.38919,                0.03076,                0.00136,                0.00136,                0.00136
                     96,                0.15081,                0.32368,                0.02926,                0.89913,                 0.8882,                0.96299,                0.89815,                0.15259,                 0.4028,                0.03151,              0.0013567,              0.0013567,              0.0013567
                     97,                0.14652,                0.31485,                0.02958,                0.89019,                0.89549,                0.96339,                0.91084,                0.14568,                0.37857,                0.03244,              0.0013534,              0.0013534,              0.0013534
                     98,                 0.1491,                0.31433,                0.02941,                0.90144,                0.88992,                0.96262,                0.90991,                0.14294,                0.37674,                0.03168,              0.0013501,              0.0013501,              0.0013501
                     99,                0.13679,                0.30608,                0.02768,                0.89627,                0.88966,                 0.9618,                0.90705,                0.14309,                0.39608,                0.02955,              0.0013468,              0.0013468,              0.0013468
                    100,                0.13983,                 0.3241,                 0.0267,                0.88177,                0.89645,                0.96328,                0.90967,                0.13377,                0.38745,                0.02684,              0.0013435,              0.0013435,              0.0013435
                    101,                 0.1387,                0.31416,                0.02841,                0.90733,                0.88341,                0.96129,                0.90929,                0.13488,                0.38055,                0.02807,              0.0013402,              0.0013402,              0.0013402
                    102,                0.14342,                0.31299,                0.02871,                0.90783,                0.87816,                0.96234,                0.90785,                0.14168,                0.38543,                0.03116,              0.0013369,              0.0013369,              0.0013369
                    103,                 0.1387,                0.31416,                0.02592,                0.91006,                0.88135,                0.96389,                0.90358,                 0.1491,                0.40004,                0.03073,              0.0013336,              0.0013336,              0.0013336
                    104,                0.13493,                0.31219,                0.02617,                0.89612,                0.89006,                0.96273,                0.90345,                0.14662,                 0.3767,                 0.0295,              0.0013303,              0.0013303,              0.0013303
                    105,                 0.1356,                0.31593,                0.02565,                0.88181,                0.89409,                0.96189,                0.91023,                0.13156,                  0.376,                0.02838,               0.001327,               0.001327,               0.001327
                    106,                0.13295,                0.31007,                0.02542,                0.88818,                0.89507,                0.96367,                0.91396,                 0.1336,                0.37544,                0.03112,              0.0013237,              0.0013237,              0.0013237
                    107,                0.14434,                0.31253,                0.02736,                0.88073,                0.90657,                0.96303,                0.91103,                0.13885,                0.38244,                0.02988,              0.0013204,              0.0013204,              0.0013204
                    108,                0.14367,                0.31363,                 0.0286,                0.89186,                0.90187,                0.96191,                0.90884,                0.13405,                0.39063,                0.02823,              0.0013171,              0.0013171,              0.0013171
                    109,                  0.149,                0.32092,                0.02976,                0.88849,                0.89851,                0.96187,                0.90254,                 0.1434,                 0.3998,                0.02893,              0.0013138,              0.0013138,              0.0013138
                    110,                0.14692,                0.31775,                0.02943,                0.87621,                0.90603,                0.96367,                0.91229,                0.13106,                0.38798,                0.02685,              0.0013105,              0.0013105,              0.0013105
                    111,                0.14669,                0.34531,                0.02905,                0.88205,                0.88455,                 0.9575,                0.89638,                0.14947,                0.38416,                0.03005,              0.0013072,              0.0013072,              0.0013072
                    112,                0.14996,                0.34995,                0.03113,                0.88305,                0.88668,                0.96274,                0.90991,                0.14209,                0.39033,                0.03131,              0.0013039,              0.0013039,              0.0013039
                    113,                0.14638,                 0.3261,                 0.0302,                0.89051,                0.89318,                0.95849,                 0.9097,                0.14204,                0.36405,                0.03235,              0.0013006,              0.0013006,              0.0013006
                    114,                0.15315,                0.34551,                0.03407,                0.89937,                0.88349,                0.96082,                0.90495,                0.14399,                0.40008,                 0.0332,              0.0012973,              0.0012973,              0.0012973
                    115,                0.15364,                0.33308,                0.03281,                0.91653,                0.88231,                0.96101,                0.90721,                0.13426,                0.39472,                0.02843,               0.001294,               0.001294,               0.001294
                    116,                0.15481,                0.32807,                0.03268,                0.89667,                0.88753,                0.95953,                0.90979,                  0.131,                0.39374,                0.02751,              0.0012907,              0.0012907,              0.0012907
                    117,                0.15104,                 0.3338,                0.03057,                    nan,                0.79362,                0.75142,                0.68978,                    nan,                    nan,                    nan,              0.0012874,              0.0012874,              0.0012874
                    118,                0.15434,                0.32414,                0.03234,                0.89328,                0.88945,                0.95875,                0.89966,                 0.1495,                0.39563,                0.03116,              0.0012841,              0.0012841,              0.0012841
                    119,                0.14332,                0.32399,                0.02925,                0.90196,                0.88776,                0.96271,                0.91134,                0.13022,                0.41337,                0.02697,              0.0012808,              0.0012808,              0.0012808
