                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.58473,                0.34141,                0.85848,                0.93262,                0.90836,                0.96941,                0.90745,                0.43687,                0.34163,                0.80422,              0.0012841,              0.0012841,              0.0012841
                    119,                0.56542,                0.34124,                0.85055,                0.92866,                0.91334,                0.96973,                0.90709,                0.42367,                0.34568,                0.80035,              0.0012808,              0.0012808,              0.0012808
                    120,                0.54876,                0.32748,                0.85378,                0.93598,                0.90362,                0.96926,                0.90405,                0.43601,                0.33719,                0.80553,              0.0012775,              0.0012775,              0.0012775
                    121,                0.54406,                0.32675,                0.84934,                0.94248,                0.89879,                0.96832,                0.89432,                0.47702,                0.34234,                0.80823,              0.0012742,              0.0012742,              0.0012742
                    122,                0.53948,                0.32436,                0.84757,                0.94032,                0.89675,                0.96791,                0.89563,                0.46267,                0.35868,                0.80669,              0.0012709,              0.0012709,              0.0012709
                    123,                 0.5331,                0.32119,                 0.8455,                0.93791,                0.88991,                0.96566,                0.90755,                 0.4228,                0.35147,                0.80283,              0.0012676,              0.0012676,              0.0012676
                    124,                0.56214,                0.33239,                0.85274,                 0.9376,                0.89462,                0.96747,                 0.8961,                0.46968,                 0.3594,                0.80947,              0.0012643,              0.0012643,              0.0012643
                    125,                0.55636,                0.33573,                0.84628,                0.92365,                0.89431,                0.96356,                0.88299,                0.50366,                0.36561,                0.81661,               0.001261,               0.001261,               0.001261
                    126,                0.54714,                0.32847,                0.84919,                 0.9345,                0.89807,                0.96824,                  0.892,                0.49454,                0.36695,                  0.815,              0.0012577,              0.0012577,              0.0012577
                    127,                0.56041,                0.33033,                0.85287,                0.94062,                0.90078,                0.96856,                0.90836,                0.42724,                0.33393,                0.80503,              0.0012544,              0.0012544,              0.0012544
                    128,                 0.5369,                  0.322,                0.84642,                0.94126,                0.90155,                0.97009,                0.90674,                0.45088,                0.33469,                0.80668,              0.0012511,              0.0012511,              0.0012511
                    129,                0.54604,                0.32773,                0.84697,                0.93607,                0.90756,                0.97001,                0.88938,                0.52885,                 0.3511,                0.81868,              0.0012478,              0.0012478,              0.0012478
                    130,                0.53741,                0.32327,                0.84736,                 0.9353,                0.90792,                0.96767,                0.89327,                0.46819,                 0.3415,                0.80895,              0.0012445,              0.0012445,              0.0012445
                    131,                0.54621,                0.32366,                0.84745,                0.92701,                0.90742,                0.96938,                0.90466,                 0.4478,                 0.3458,                0.80549,              0.0012412,              0.0012412,              0.0012412
                    132,                0.55577,                0.33371,                0.84506,                0.94037,                0.90126,                0.96965,                0.89756,                0.47576,                0.33319,                0.80997,              0.0012379,              0.0012379,              0.0012379
                    133,                0.54554,                0.32518,                0.84598,                0.88661,                0.87566,                0.92642,                 0.8524,                0.46282,                0.36759,                0.80933,              0.0012346,              0.0012346,              0.0012346
